ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
GSE84437_GSM2235631	1254.47121572931	2430.74702511476	3685.21824084407	0.412194904843847
GSE84437_GSM2235632	762.199308456557	2101.99593870773	2864.19524716429	0.518741708248869
GSE84437_GSM2235633	1498.88237965684	2196.18677347334	3695.06915313018	0.410877030315932
GSE84437_GSM2235634	457.627553819991	986.235166568168	1443.86272038816	0.684462970800258
GSE84437_GSM2235635	-10.0111252750254	1451.76118568383	1441.75006040881	0.684689025743666
GSE84437_GSM2235636	1439.35549922541	1801.48371455005	3240.83921377545	0.470706639198058
GSE84437_GSM2235637	-45.0721817876895	1751.95323276484	1706.88105097715	0.655812802702416
GSE84437_GSM2235695	-839.67752807186	784.618728563188	-55.0587995086722	0.827079110307533
GSE84437_GSM2235696	107.571784278577	1676.80865331811	1784.38043759669	0.647182534245121
GSE84437_GSM2235697	-1148.79142472133	-265.467061734838	-1414.25848645617	0.922074058981581
GSE84437_GSM2235698	-232.621698094101	806.617588136938	573.995890042838	0.77172756351632
GSE84437_GSM2235699	724.935840757214	755.077642982599	1480.01348373981	0.680584651559852
GSE84437_GSM2235700	483.984860991037	1535.41556320454	2019.40042419558	0.620503480348276
GSE84437_GSM2235701	-1139.49605505578	162.175190838083	-977.320864217701	0.895373172134302
GSE84437_GSM2235702	932.310902798249	970.348499690329	1902.65940248858	0.63385001248077
GSE84437_GSM2235703	459.738468021295	1357.87346647265	1817.61193449395	0.643456180025464
GSE84437_GSM2235704	253.397812497697	1335.76134957422	1589.15916207192	0.668759477009321
GSE84437_GSM2235705	-28.7543217599777	1075.04114047493	1046.28681871496	0.725820447695855
GSE84437_GSM2235706	-105.587930238399	288.456370873896	182.868440635497	0.806947922010538
GSE84437_GSM2235707	-29.3129421421259	1224.1220231072	1194.80908096507	0.710652350741608
GSE84437_GSM2235708	-189.143618155981	1237.91032041989	1048.7667022639	0.725569997285216
GSE84437_GSM2235709	-475.615703972934	868.580230795919	392.964526822985	0.788352496489515
GSE84437_GSM2235710	676.506310227018	1042.77194235727	1719.27825258428	0.654437933834848
GSE84437_GSM2235711	-40.2856109567618	1127.07349921314	1086.78788825637	0.721718113530367
GSE84437_GSM2235712	-1770.33777373091	-567.825891926484	-2338.1636656574	0.965932940709318
GSE84437_GSM2235713	315.1864117598	877.249652150558	1192.43606391036	0.710897373844654
GSE84437_GSM2235714	-1479.63487636721	-127.55873392339	-1607.1936102906	0.932663308484701
GSE84437_GSM2235715	390.200897873588	2135.29639742439	2525.49729529798	0.560587772066275
GSE84437_GSM2235716	-283.213267959048	-88.6232716962947	-371.836539655342	0.852312287293859
GSE84437_GSM2235717	1104.51388836812	1314.4168200596	2418.93070842773	0.57347233256399
GSE84437_GSM2235718	58.8227279778206	1579.49133873606	1638.31406671388	0.663377640642735
GSE84437_GSM2235719	249.46231953154	983.700340880019	1233.16266041156	0.706680258590879
GSE84437_GSM2235720	281.374681329255	825.869079434476	1107.24376076373	0.719636443464232
GSE84437_GSM2235721	402.199374949371	1143.0216793551	1545.22105430448	0.673540678884138
GSE84437_GSM2235722	291.795812843154	1655.75248163068	1947.54829447383	0.628739857511981
GSE84437_GSM2235723	-660.812479523926	-159.868197646445	-820.680677170371	0.88489825536848
GSE84437_GSM2235724	945.04463208886	1789.93919555163	2734.98382764049	0.534862685699049
GSE84437_GSM2235725	856.674469470164	2450.33439313635	3307.00886260651	0.462114945650522
GSE84437_GSM2235726	1402.99886798267	3144.22204936525	4547.22091734792	0.293924232443933
GSE84437_GSM2235727	28.6794864044306	1525.485299147	1554.16478555143	0.672569715791651
GSE84437_GSM2235728	1063.61213358646	1478.94338441915	2542.55551800561	0.558512508998874
GSE84437_GSM2235729	853.224196369793	1871.91857305106	2725.14276942086	0.536082686539346
GSE84437_GSM2235730	-510.763630921719	751.333947292565	240.570316370846	0.801916483326328
GSE84437_GSM2235731	-880.558747395738	1139.61452953412	259.05578213838	0.800292418850323
GSE84437_GSM2235732	676.448007848569	2054.26958358345	2730.71759143202	0.535391710302653
GSE84437_GSM2235733	762.718625221936	1364.42384209324	2127.14246731517	0.608023995204888
GSE84437_GSM2235734	-54.7586992359842	826.949697063339	772.190997827355	0.75290198098307
GSE84437_GSM2235735	-169.277234077218	1698.52964993205	1529.25241585483	0.675271402966728
GSE84437_GSM2235736	-1395.6248316593	-452.433792491004	-1848.0586241503	0.944832445866619
GSE84437_GSM2235737	368.699649377683	2100.57267744587	2469.27232682356	0.567403013940069
GSE84437_GSM2235738	-201.437117648994	909.243570410251	707.806452761258	0.759088213076831
GSE84437_GSM2235739	-648.362418366061	56.6050378225119	-591.757380543549	0.868749758210846
GSE84437_GSM2235740	-838.555617320852	1030.44175419332	191.886136872472	0.806165412170778
GSE84437_GSM2235741	447.488187372996	730.129113692895	1177.61730106589	0.712425515549875
GSE84437_GSM2235742	119.826229151288	1308.64667178263	1428.47290093392	0.686108175726936
GSE84437_GSM2235743	508.689036510262	1528.50832357074	2037.197360081	0.618452724374365
GSE84437_GSM2235744	-229.768683922312	970.43712208289	740.668438160577	0.755939186134353
GSE84437_GSM2235745	661.264873390938	1984.58589485699	2645.85076824793	0.545871518851987
GSE84437_GSM2235746	-590.110935441999	1203.17605656149	613.065121119489	0.768067758051472
GSE84437_GSM2235747	617.156746543242	1383.03936831303	2000.19611485627	0.622711658535942
GSE84437_GSM2235748	944.967082973656	1143.26524654899	2088.23232952265	0.612548564648643
GSE84437_GSM2235749	-1265.22256671158	98.8056710861633	-1166.41689562542	0.907387383322226
GSE84437_GSM2235750	260.671692037946	660.034508219302	920.706200257247	0.738376719392896
GSE84437_GSM2235751	-8.42962475225198	1839.78063883616	1831.35101408391	0.641911094354391
GSE84437_GSM2235752	-595.953833515798	1976.56314599478	1380.60931247899	0.691202480319607
GSE84437_GSM2235753	801.673616295759	1946.79546035864	2748.4690766544	0.533189100645167
GSE84437_GSM2235754	1375.17142090484	1455.61121039604	2830.78263130087	0.522928533635749
GSE84437_GSM2235755	967.623430413129	1342.28226755869	2309.90569797182	0.586508890621739
GSE84437_GSM2235756	1212.48906555069	1716.52640343506	2929.01546898575	0.510583803623746
GSE84437_GSM2235757	460.750086147133	1094.07831149277	1554.8283976399	0.672497625499537
GSE84437_GSM2235758	-621.687693872587	616.096491041948	-5.59120283063942	0.822975887513675
GSE84437_GSM2235759	1723.34206025868	1345.69872599007	3069.04078624875	0.492804214493363
GSE84437_GSM2235760	363.471913443774	530.217733393866	893.68964683764	0.741045339817543
GSE84437_GSM2235761	1112.35258781476	1588.70345216705	2701.05603998181	0.539064005342716
