Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSE84437_GSM2235995	0.0493365984097049	0	0.0172357151668071	0.13223243937845	0	0.179602228432876	0.0207808664484535	0.0747781599681424	0.0377750641411705	0	0	0.0661605669321763	0.0117424618089733	0.0722546937317196	0.0675963961334342	0.0900386793472962	0	0.0350777263942772	0.116744767005978	0	0	0.0286436367005409	0.175	0.0925984100003184	1.05284457402804
GSE84437_GSM2235996	0	0.0188236758928009	0.0269070462131396	0.118847495749859	0	0.0197756275427928	0.221866143321834	0	0.0439652664433381	0	0.0113062296860091	0.0545536673518413	0	0.208354995243668	0.0495254080489725	0.0608358662998529	0	0.0735719550875749	0	0.0200506631836906	0	0.0716159599346254	0.004	0.314863371569529	0.95954615930752
GSE84437_GSM2235997	0.0188482113396359	0	0	0.197993868519364	0	0.116439722652381	0.0529794757129184	0.0156252667586928	0.0737493604489068	0	0.0329534537949645	0.013108710578051	0	0.254604378790615	0.0428512028009989	0.0318797880109277	0	0.00267175956089837	0	0.14507019263683	0	0.00122460839481409	0.025	0.202544434542115	1.02595731921461
GSE84437_GSM2235998	0.0670736669926182	0	0	0.14423958718885	0	0.171435654528106	0.070964259741266	0.0970985083680727	0.0574210318430962	0	0.0692505260215263	0.0020822731356556	0	0.0224280655375317	0.0797523040151811	0.115300010816394	0.0498058138630597	0.00890255522562104	0.0427806870683539	0	0	0.00146505565466837	0.035	0.18141902848722	1.01962644810708
GSE84437_GSM2235999	0.0392575548622309	0.00575593561749419	0	0.123703171219827	0	0.185236525761015	0.0274624582761065	0.0593610258881034	0.0277264254517986	0	0.0719680822295131	0	0	0.103130631867988	0.103149662929315	0.116483133058117	0.0798515560290817	0	0.0414270932316505	0	0	0.0154867435777576	0.032	0.193306131193297	1.01194694804429
GSE84437_GSM2236000	0.0449715867346157	0	0.0505234867098832	0.0649261760267044	0	0.0562658110898747	0.00270983894162577	0.0115378990902439	0.123082343126531	0	0.0868169100599352	0	0	0.416127669564101	0.0508016484478747	0.0542880968515373	0	0	0	0.0379485333570736	0	0	0.425	0.0447582807557689	1.11174578276749
GSE84437_GSM2236001	0.0891768168825751	0	0	0.123199724901714	0	0.372742964743334	0	0.0162880015152134	0.00492554953224672	0	0	0.00252943245270852	0.0202785713433148	0	0.0427518409106456	0.192275100687101	0	0.0494580776454393	0.0863739193857079	0	0	0	0.004	0.309027276203235	0.961435661879556
GSE84437_GSM2236002	0.0582659939761751	0	0	0.0887487205411102	0	0.213528307867033	0.017417523972798	0.0647044265214571	0.059832950853562	0	0.0305083855097082	0.0278445086531446	0	0.273747202206454	0.0499098980455739	0.0626263892073381	0	0.0352422544336176	0.0176234382120275	0	0	0	0.179	0.0907086918453812	1.07090290610031
GSE84437_GSM2236003	0.0231829020218779	0	0	0.111219951176383	0	0.34893369337274	0	0.0240089980700926	0.0927999975743608	0	0	0.0924851818155781	0.00537550285053288	0	0.0211832454405304	0.190076086328826	0.00503207710337848	0.0130796718129385	0.0726226924327614	0	0	0	0.025	0.202853308605625	1.02393847616948
GSE84437_GSM2236004	0.0196706354172461	0	0	0.167449704929764	0	0.204407356546362	0.0190666354003553	0	0.0641175060331943	0	0	0.0299878274415058	0.0161999743459894	0.0978939300215114	0.104003688203575	0.145669390071143	0.0148706955503106	0.0448364530799963	0.0718262029590469	0	0	0	0.014	0.239940172777957	0.994620959038431
GSE84437_GSM2236005	0.0102204710523509	0.00255025947637831	0.0162730390396307	0.0953751085106021	0	0.145360721656049	0.0958456877202466	0.0288927779835771	0.0275548905385	0	0.0694249171059636	0.00860843836189716	0	0.317772967680905	0.113447587481622	0.0359453754784837	0	0.00934250219202041	0.0233852557217736	0	0	0	0.024	0.206783915181657	1.02211784253307
GSE84437_GSM2236006	0	0.0348834687434128	0	0.116403892423345	0	0.161775570934995	0.0317066627975027	0.100694870232643	0.0621926843394185	0	0.0370095688714925	0	0	0.203928001230994	0.082897751966862	0.120818475637759	0	0.00803585752487454	0	0.0396531952967017	0	0	0.024	0.205610775557923	1.01382548326511
GSE84437_GSM2236007	0.0146861118022411	0	0	0.162226362661439	0	0.11872276168946	0.0793884454624063	0.0171383445779379	0.00331607378494928	0	0	0.08168569561002	0.0123130028338514	0	0.0786119506738488	0.285942855744294	0.00323236605766005	0.0771895687300874	0.0430290043000521	0	0	0.0225174560717519	0	0.418454697783902	0.908486988457987
GSE84437_GSM2236008	0.0372838298873684	0	0	0.165816345907541	0	0.247854599308372	0.0121903454688266	0.0623451063204104	0.0221007609588256	0.0210747131760531	0	0.0271863795235386	0	0	0.109688932530924	0.220742614887506	0.0150006779036222	0.000745075775681392	0.0579706183513303	0	0	0	0	0.429113787457092	0.903694131563972
GSE84437_GSM2236009	0.0389132107194984	0	0	0.225592019322068	0	0.139477427232267	0	0.0471059009891456	0.0617379671262312	0	0	0.0264058891556667	0.00657908554277892	0.0333587776701145	0.0958301190393082	0.270318668092552	0	0	0.0546809351103693	0	0	0	0.041	0.17103553160914	1.02833039852709
